15;11;4;3;1;3;1;1;2;2;2;1;1;2;1
15;214;3;3;2;3;1;5;2;3;3;2;1;2;1
15;215;2;2;2;3;1;2;2;3;3;2;1;2;1
15;216;4;3;1;3;1;5;2;2;2;1;1;2;1
15;228;4;3;1;3;1;5;2;7;4;2;1;2;1
15;229;2;3;1;3;1;1;2;6;6;2;1;1;1
15;235;3;3;1;3;1;1;2;7;7;2;1;2;1
15;237;5;2;1;3;1;1;2;2;2;1;1;2;1
15;107;5;3;2;3;1;1;2;2;2;2;1;2;1
15;74;4;3;2;3;1;2;2;1;6;2;2;2;1
15;3514;3;3;2;3;1;2;2;7;7;2;2;2;1
15;3515;4;2;2;3;1;5;2;2;2;2;1;1;1
15;3516;5;3;2;3;1;2;2;2;2;2;1;1;1
15;178;4;3;1;3;1;2;1;2;2;2;1;1;1
15;3546;4;2;1;3;1;5;2;1;1;2;1;2;1
15;3550;3;3;2;3;1;1;2;1;1;2;1;2;1
15;112;5;3;2;3;1;2;2;2;2;2;1;1;2
15;167;5;3;1;3;1;1;2;4;4;2;1;2;1
15;3000;5;3;1;3;1;1;2;2;2;2;1;1;2
15;2491;4;3;3;4;1;1;2;2;2;2;1;1;2
15;3744;4;3;3;4;1;1;2;2;2;2;1;1;2
15;3745;4;3;3;4;1;1;2;2;2;2;1;1;2
15;2677;3;4;1;4;1;5;2;3;3;2;1;1;1
15;3847;5;3;2;4;1;1;2;2;2;2;1;2;1
15;3875;3;3;2;4;1;1;2;7;7;1;1;1;1
15;3907;3;3;2;1;1;1;2;6;6;2;1;1;1
15;3921;3;3;2;1;1;1;2;4;4;2;1;2;1
15;3927;2;3;1;1;1;5;2;7;7;2;1;1;1
15;3923;4;3;1;1;1;1;2;2;2;1;1;1;2
15;3931;4;2;2;1;1;1;2;4;1;2;1;1;1
15;190;4;3;1;1;1;5;2;3;7;1;1;1;1
15;191;3;3;2;1;1;5;2;6;6;1;1;1;1
15;192;4;3;2;1;1;2;2;2;2;1;1;1;1
15;3965;4;3;1;1;1;1;2;2;2;2;1;2;1
15;3966;4;4;1;1;1;1;2;2;2;1;1;2;1
15;3969;5;3;1;1;1;1;2;2;2;1;1;1;2
15;3971;5;2;1;1;1;1;2;2;2;1;1;1;2
15;3973;5;4;2;1;1;2;2;2;2;1;1;1;2
15;1905;3;2;1;1;1;2;2;2;2;1;1;1;2
15;3970;1;3;1;1;1;1;2;7;7;1;1;1;1
15;3964;4;3;2;1;1;5;2;2;2;1;1;2;2
15;3952;4;2;1;1;1;2;2;7;7;2;1;2;1
15;3347;5;3;1;1;1;3;2;2;2;1;1;1;1
15;3991;5;1;2;1;1;1;2;2;2;1;1;1;2
15;15;5;3;1;1;1;1;2;2;2;2;1;1;2
15;3005;3;3;1;1;1;1;2;6;6;1;1;1;1
15;2546;3;3;1;1;1;1;2;2;2;2;1;1;1
15;2986;3;3;3;1;1;1;2;2;2;3;1;2;1
15;4015;2;1;2;1;1;1;2;2;2;2;1;1;1
15;4016;5;3;1;2;1;1;2;2;2;2;1;1;1
15;2646;4;2;1;2;1;1;2;2;2;2;1;1;1
15;3883;4;3;2;2;1;1;2;2;2;1;1;1;1
15;3999;4;3;2;2;1;1;2;2;2;1;1;1;1
15;3958;3;2;1;2;1;1;1;7;7;2;1;1;1
