84;7;6;5;2;2;2;0;2
84;8;13;10;1;2;2;0;4
84;9;9;6;2;4;2;0;3
84;10;12;10;2;2;2;0;4
84;11;9;1;3;4;2;0;3
84;12;13;7;2;4;2;0;4
84;13;9;12;2;4;2;0;3
84;14;8;6;2;4;2;0;2
84;15;12;6;1;2;1;1;4
84;16;8;11;2;4;1;2;3
84;17;12;12;2;1;2;0;3
84;18;10;12;2;4;2;0;3
84;19;9;3;3;2;1;2;2
84;20;5;7;2;4;2;0;2
84;21;11;3;1;2;1;2;3
84;22;13;6;1;2;1;2;4
1;29;3;10;2;1;1;0;1
1;30;7;11;2;2;1;2;2
1;9;7;5;2;3;2;0;2
1;31;6;11;2;1;1;2;2
1;32;10;3;2;4;1;0;2
1;33;11;1;1;3;1;2;3
1;25;9;3;1;3;2;0;2
1;34;12;12;2;2;1;2;4
1;35;9;5;2;3;2;2;2
1;36;12;12;1;3;2;0;4
1;37;9;1;1;2;3;1;2
1;38;6;11;2;2;2;2;2
1;39;6;12;1;2;2;0;1
1;40;11;1;2;3;2;0;3
1;41;5;8;2;1;1;0;1
1;25;9;3;1;3;2;0;2
1;42;10;11;2;2;1;2;3
1;34;11;1;1;2;1;0;3
1;43;12;11;2;2;3;2;4
1;6;10;9;2;3;2;0;3
1;12;12;10;2;4;1;2;4
1;15;11;10;2;2;1;0;3
2;13;10;12;2;4;2;3;3
2;20;10;12;2;4;2;3;3
2;1;0;1;1;1;0;0;0
3;19;9;8;1;2;1;2;3
3;36;8;1;1;2;1;2;2
3;12;12;1;1;1;1;2;4
3;2;8;9;1;4;1;2;3
3;27;12;4;3;2;1;2;3
3;32;11;9;1;2;1;2;3
4;46;9;1;1;3;1;2;2
4;47;10;1;1;2;1;2;3
4;48;4;10;2;4;1;1;1
4;49;5;1;1;1;1;2;1
4;34;10;7;1;3;1;3;3
4;3;10;1;1;2;1;2;3
4;18;11;1;1;3;3;3;3
4;29;5;2;3;4;1;2;1
4;19;9;1;3;1;3;2;2
4;4;10;1;1;3;3;3;3
4;50;10;1;1;2;3;2;2
4;15;12;1;1;2;1;1;3
4;40;10;1;1;3;1;2;2
4;21;12;1;1;3;1;1;4
4;10;9;1;1;2;3;3;2
4;51;12;1;1;3;0;3;3
4;17;10;1;1;3;3;3;3
4;6;13;1;1;3;3;3;4
4;52;5;1;1;3;1;2;1
4;53;12;3;2;3;1;2;4
4;54;9;9;1;3;1;2;2
4;28;11;1;1;3;1;1;3
4;55;10;10;2;1;1;2;3
4;42;8;3;3;4;1;2;2
4;56;7;1;1;1;3;2;2
4;57;13;1;1;2;2;2;4
5;58;11;1;1;4;3;2;3
5;59;9;1;1;2;3;3;3
5;18;12;2;2;3;3;3;4
5;12;2;4;2;3;3;2;1
5;21;12;11;2;4;3;2;3
5;34;10;7;2;3;3;3;3
6;12;13;10;1;2;1;1;4
6;40;8;2;2;4;1;2;2
6;6;13;4;1;2;1;1;4
6;47;11;4;2;1;1;2;3
6;60;7;11;1;1;3;0;2
7;61;1;2;2;3;1;2;1
7;11;8;2;1;3;1;2;2
8;50;10;7;2;4;3;0;3
8;62;2;5;2;4;3;0;1
8;34;11;6;2;4;2;2;3
8;27;13;3;3;2;2;0;3
8;17;7;8;2;2;2;0;2
8;63;1;4;1;2;1;3;1
8;15;9;4;1;2;1;1;2
